link,Product Name,Picture URL,Price in India,Rating,Total Ratings,Type,Description
https://gadgets.ndtv.com/asus-g551vw-fi242t-5141,Asus G551VW-FI242T,https://i.gadgets360cdn.com/products/laptops/large/1525205917_635_g551vw-fi242t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 98,500",4.450980392,1000,Laptop,"RAM : 16GB, SIZE : 15.60-inch, SSD : No, Operating System : Windows 10 Home, HDD : 1TB, Model Number : G551VW-FI242T, Processor : Intel Core i7 6th Gen 6700HQ, Graphics : Nvidia GeForce GTX 960M, Resolution : 3840x2160 pixels, Weight : 2.7, Dimensions : 382.00 x 255.00 x 16.00, Bluetooth version : 4, Base clock speed : 2.6 GHz, USB Ports : 3 x USB 3.0, Battery Life : , Expandable RAM(in GB) : 16GB"
https://gadgets.ndtv.com/hp-pavilion-15-au620tx-5388,HP Pavilion 15-au620tx,https://i.gadgets360cdn.com/products/laptops/large/1525207812_635_pavilion-15-au620tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 56,950",1.98019802,1000,Laptop,"RAM : 8GB, SIZE : 15.60-inch, SSD : No, Operating System : Windows 10 Home, HDD : 1TB, Model Number : 15-au620tx, Processor : Intel Core i5 7th Gen 7200U, Graphics : Nvidia GeForce, Resolution : 1366x768 pixels, Weight : 2.04, Dimensions : 383.00 x 243.00 x 22.50, Bluetooth version : 4, Base clock speed : 2.5 GHz, USB Ports : 1 x USB 2.0, Battery Life : 9, Expandable RAM(in GB) : 16GB"
https://gadgets.ndtv.com/hp-pavilion-15-au628tx-5391,HP Pavilion 15-au628tx,https://i.gadgets360cdn.com/products/laptops/large/1525207818_635_pavilion-15-au628tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 80,250",2.86,1000,Laptop,"RAM : 8GB, SIZE : 15.60-inch, SSD : No, Operating System : Windows 10 Home, HDD : 1TB, Model Number : 15-au628tx, Processor : Intel Core i7 7th Gen 7500U, Graphics : Nvidia GeForce 940MX, Resolution : 1920x1080 pixels, Weight : 2.04, Dimensions : 383.00 x 243.00 x 22.50, Bluetooth version : 4.2, Base clock speed : 2.7 GHz, USB Ports : 1 x USB 2.0, Battery Life : 9, Expandable RAM(in GB) : 16GB"
https://gadgets.ndtv.com/hp-15-ay006tx-5093,HP 15-ay006tx,https://i.gadgets360cdn.com/products/laptops/large/1525204399_635_15-ay006tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 35,799",4.623762376,1000,Laptop,"RAM : 4GB, SIZE : 15.60-inch, SSD : No, Operating System : DOS, HDD : 500GB, Model Number : 15-ay006tx, Processor : Intel Core i3 5th Gen 5005U, Graphics : AMD Radeon R5 M430, Resolution : 1366x768 pixels, Weight : 2.19, Dimensions : 384.30 x 254.60 x 24.30, Bluetooth version : 4, Base clock speed : 2 GHz, USB Ports : 2 x USB 2.0, 1 x USB 3.0, Battery Life : 6, Expandable RAM(in GB) : 8GB"
https://gadgets.ndtv.com/xiaomi-mi-10i-price-in-india-98985,Xiaomi Mi 10i,https://gadgets.ndtv.com/static/mobile/images/upcoming.jpg?downsize=59:19&amp;output-format=webp,,0,1000,Laptop,"RAM : 6GB, SIZE : , SSD : , Operating System : Android 10, HDD : , Model Number : , Processor : 1.8GHz octa-core, Graphics : , Resolution : 1080x2400 pixels, Weight : , Dimensions : 165.38 x 76.80 x 9.00, Bluetooth version : , Base clock speed : , USB Ports : , Battery Life : , Expandable RAM(in GB) : "
https://gadgets.ndtv.com/lenovo-g50-45-4930,Lenovo G50 45,https://i.gadgets360cdn.com/products/laptops/large/1525206045_635_g50-45.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 17,990",3.524752475,1000,Laptop,"RAM : 8GB, SIZE : 15.60-inch, SSD : No, Operating System : Windows 8.1, HDD : 1TB, Model Number : G50 45, Processor : AMD APU Quad Core A8 6th Gen A8 6410, Graphics : AMD R5 M230, Resolution : 1366x768 pixels, Weight : 2.5, Dimensions : 384.00 x 265.00 x 25.00, Bluetooth version : 4, Base clock speed : 2 GHz, USB Ports : 2 x USB 2.0, 1 x USB 3.0, Battery Life : 4, Expandable RAM(in GB) : 16GB"
https://gadgets.ndtv.com/samsung-galaxy-s21-plus-price-in-india-98938,Samsung Galaxy S21+,https://gadgets.ndtv.com/static/mobile/images/upcoming.jpg?downsize=59:19&amp;output-format=webp,,0,1000,Laptop,"RAM : 8GB, SIZE : , SSD : , Operating System : Android 11, HDD : , Model Number : , Processor : 2.4GHz octa-core (3x2.8GHz + 4x2.4GHz + 1x2.9GHz), Graphics : , Resolution : 1080x2400 pixels, Weight : , Dimensions : 161.40 x 75.60 x 7.80, Bluetooth version : , Base clock speed : , USB Ports : , Battery Life : , Expandable RAM(in GB) : "
https://gadgets.ndtv.com/hp-pavilion-15-ba021ax-5376,HP Pavilion 15-ba021ax,https://i.gadgets360cdn.com/products/laptops/large/1525207787_635_pavilion-15-ba021ax.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 32,490",3.386138614,1000,Laptop,"RAM : 4GB, SIZE : 15.60-inch, SSD : No, Operating System : DOS, HDD : 1TB, Model Number : 15-ba021ax, Processor : AMD APU Quad Core A10 7th Gen A10 9600P, Graphics : Intel Integrated Graphics / Nvidia GeForce 940MX, Resolution : 1366x768 pixels, Weight : 2.19, Dimensions : 384.30 x 254.60 x 24.30, Bluetooth version : 4.1, Base clock speed : 2.4 GHz, USB Ports : 2 x USB 2.0, 1 x USB 3.0, Battery Life : 4, Expandable RAM(in GB) : 16GB"
https://gadgets.ndtv.com/hp-pavilion-15-au009tx-5228,HP Pavilion 15-au009tx,https://i.gadgets360cdn.com/products/laptops/large/1525206219_635_pavilion-15-au009tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 72,249",4.108910891,1000,Laptop,"RAM : 8GB, SIZE : 15.60-inch, SSD : No, Operating System : Windows 10 Home, HDD : 1TB, Model Number : 15-au009tx, Processor : Intel Core i7 6th Gen 6500U, Graphics : Nvidia GeForce 940MX, Resolution : 1920x1080 pixels, Weight : 2, Dimensions : 383.00 x 243.00 x 22.50, Bluetooth version : 4.2, Base clock speed : 2.5 GHz, USB Ports : 1 x USB 2.0, 2 x USB 3.0, Battery Life : 9, Expandable RAM(in GB) : 8GB"
https://gadgets.ndtv.com/msi-ps63-modern-8rc-12957,MSI PS63 Modern 8RC,https://i.gadgets360cdn.com/products/large/1552655828_635_MSI_PS63_modern.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 102,000",4.297029703,1000,Laptop,"RAM : 16GB, SIZE : 15.60-inch, SSD : 512GB, Operating System : Windows 10, HDD : , Model Number : PS63 Modern 8RC, Processor : Intel Core i7 8th Gen i7-8565U, Graphics : Nvidia GeForce GTX 1050, Resolution : 1920x1080 pixels, Weight : 1.6, Dimensions : 233.70 x 356.80 x 15.90, Bluetooth version : 5, Base clock speed : 1.8 GHz, USB Ports : 2 x USB 3.1 Gen 1 (Type A), 1 x USB 3.1 Gen 1 (Type C), 1 x USB 3.1 Gen 2 (Type A), Battery Life : 16, Expandable RAM(in GB) : "
