url,Picture URL,Product Name,Model Name,Price in India,Total Ratings,Type,Rating,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Description,Display Size,Screen Type,Resolution Standard,No of USB Port,No of HDMI Port,Color,Speaker Output RMS,Number of Speakers,Resolution (pixels),Power Consumption,Width x Height x Depth (without stand),Weight (without stand),Width x Height x Depth (with stand),Contrast Ratio,Speaker Type,Brightness,other_info
https://gadgets.ndtv.com/murphy-55-inch-led-full-hd-tv-mj5515-10728,https://gadgets.ndtv.com/static/icons/tv-icon.png?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Murphy 55 Inches Full HD LED Smart TV (MJ5515, Black)",MJ5515,"₹ 49,000",,Television,0,0,0,0,0,0," Display Size : 55 inch, Screen Type : LED, Resolution : Full-HD, No.of USB Ports : 2, No.of HDMI Ports : 2, Color : Black, Speaker Output : 30 W, Power Consumption : 110 W, 0.25 W (Standby), Dimensions : , Weight : , Constrast Ratio : , Brightness : ",55 inch,LED,Full-HD,2,2,Black,30 W,2,1920x1080,"110 W, 0.25 W (Standby)",,,,,,,"{'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'Yes', 'Operating System Present': 'Yes', 'Screen Mirroring': 'Yes', 'Supported App - Hotstar': 'No'}"
https://gadgets.ndtv.com/aoc-24-inch-led-hd-ready-tv-le24v30m6-11609,https://i.gadgets360cdn.com/products/televisions/large/1548155193_832_aoc_24-inch-led-hd-ready-tv-le24v30m6.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,LE24V30M6,,,Television,0,0,0,0,0,0," Display Size : 24 inch, Screen Type : LED, Resolution : HD-Ready, No.of USB Ports : 1, No.of HDMI Ports : 2, Color : Black, Speaker Output : 8 W x 2, Power Consumption : 55 W, 1 W (Standby), Dimensions : 561 mm x 345 mm x 43 mm, Weight : , Constrast Ratio : 1200:01:00 (Static).1413.334028 (Dynamic), Brightness : 250 nits (2D)",24 inch,LED,HD-Ready,1,2,Black,8 W x 2,2,1366x768,"55 W, 1 W (Standby)",561 mm x 345 mm x 43 mm,,561 mm x 373 mm x 156 mm,1200:01:00 (Static).1413.334028 (Dynamic),,250 nits (2D),"{'Picture Engine': 'Real Color Engine', 'Battery Type': 'AAA'}"
https://gadgets.ndtv.com/lg-32-inch-led-hd-ready-tv-32lk616bptb-9245,https://i.gadgets360cdn.com/products/televisions/large/1548153059_832_lg_32-inch-led-hd-ready-tv-32lk616bptb.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"LG 32 Inches HD Ready LED Smart TV (32LK616BPTB, Grey)",32LK616BPTB,"₹ 19,990",112,Television,4.455445545,3,0,4,30,63," Display Size : 32 inch, Screen Type : LED, Resolution : HD-Ready, No.of USB Ports : 2, No.of HDMI Ports : 3, Color : Black, Speaker Output : 20 W, Power Consumption : 0.3 W (Standby), Dimensions : 742 mm x 445 mm x 86.8 mm, Weight : 5.5 kg, Constrast Ratio : , Brightness : ",32 inch,LED,HD-Ready,2,3,Black,20 W,2,1366x768,0.3 W (Standby),742 mm x 445 mm x 86.8 mm,5.5 kg,742 mm x 472 mm x 180 mm,,,,{'Smart Remote': 'Yes'}
https://gadgets.ndtv.com/lloyd-38-inch-led-full-hd-tv-l39fn2s-10361,https://i.gadgets360cdn.com/products/televisions/large/1548154094_832_lloyd_38-inch-led-full-hd-tv-l39fn2s.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Lloyd 39 Inches Full HD LED Smart TV (L39FN2S, Black)",L39FN2S,"₹ 25,499",,Television,0.9900990099,100,0,0,0,0," Display Size : 38 inch, Screen Type : LED, Resolution : Full-HD, No.of USB Ports : 2, No.of HDMI Ports : 3, Color : Black, Speaker Output : 16 W, Power Consumption : 70 W, 0.5 W (Standby), Dimensions : , Weight : , Constrast Ratio : Dynamic Static, Brightness : 200 nits",38 inch,LED,Full-HD,2,3,Black,16 W,2,1920x1080,"70 W, 0.5 W (Standby)",,,,Dynamic Static,,200 nits,{'PC Audio In': 'No'}
https://gadgets.ndtv.com/panasonic-55-inch-led-ultra-hd-4k-tv-th-55cx700d-11021,https://i.gadgets360cdn.com/products/televisions/large/1548154655_832_panasonic_55-inch-led-ultra-hd-4k-tv-th-55cx700d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,TH-55CX700D,,,Television,0,0,0,0,0,0," Display Size : 55 inch, Screen Type : LED, Resolution : 4K, No.of USB Ports : 3, No.of HDMI Ports : 3, Color : Black, Speaker Output : 20W, Power Consumption : 240 W, Dimensions : 1239 x 719 x 53 mm, Weight : 19 Kg, Constrast Ratio : , Brightness : ",55 inch,LED,4K,3,3,Black,20W,2.0Ch Speaker,,240 W,1239 x 719 x 53 mm,19 Kg,1239 x 768 x 235 mm,,Full Range,,"{'Wi-Fi Type': 'Direct', 'Supported Audio Formats': 'MP3, WAV', 'Picture Engine': '4K Fine Remaster Engine', 'Composite In (Audio Video Cable)': 'RCA phono type x 1 (rear)'}"
https://gadgets.ndtv.com/lg-55-inch-led-full-hd-tv-55lb750t-9810,https://i.gadgets360cdn.com/products/televisions/large/1548153590_832_lg_55-inch-led-full-hd-tv-55lb750t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,55LB750T,,,Television,0,0,0,0,0,0," Display Size : 55 inch, Screen Type : LED, Resolution : Full-HD, No.of USB Ports : 3, No.of HDMI Ports : 3, Color : Black, Speaker Output : 24W, Power Consumption : , Dimensions : 1231 x 718 x 55.1, Weight : 18.5Kg, Constrast Ratio : , Brightness : ",55 inch,LED,Full-HD,3,3,Black,24W,2.0Ch Speaker,,,1231 x 718 x 55.1,18.5Kg,1231 x 766 x 237,,,,"{'Picture Engine': 'Triple XD Engine', 'Digital Audio Output': 'Yes', 'Composite In (Audio Video Cable)': 'Component Input (Y, Pb, Pr + Audio): 1 (Rear) (H, Composite / Component Common)'}"
https://gadgets.ndtv.com/blaupunkt-43-inch-bu680-4k-led-smart-tv-bla43bu680-price-in-india-91390,https://i.gadgets360cdn.com/products/large/blaupunkt-bla43bu680-db-800x600-1577962934.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Blaupunkt BU680 43 inches Ultra HD (4K) LED Smart TV (BLA43BU680, Metallic)",BLA43BU680,"₹ 21,999",106,Television,4.069306931,10,4,9,19,58," Display Size : 43 inch, Screen Type : LED, Resolution : 4K, No.of USB Ports : 2, No.of HDMI Ports : 2, Color : Silver, Speaker Output : 30W, Power Consumption : , Dimensions : , Weight : , Constrast Ratio : , Brightness : ",43 inch,LED,4K,2,2,Silver,30W,,,,,,,,,,"{'Supported App - Youtube': 'Yes', 'Supported App - Netflix': 'Yes', 'Operating System Present': 'Custom interface based on Android 6', 'Processor': '1.5GHz Cortex A53', 'Number of Cores': 'quad-core', 'Supported App - Hotstar': 'Yes', 'Storage Capacity': '8GB', 'RAM': '1GB'}"
https://gadgets.ndtv.com/lg-49-inch-led-ultra-hd-4k-tv-49sk8500pta-9696,https://i.gadgets360cdn.com/products/televisions/large/1548153485_832_lg_49-inch-led-ultra-hd-4k-tv-49sk8500pta.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"LG 49 Inches Ultra HD (4K) LED Smart TV (49SK8500PTA, Black)",49SK8500PTA,"₹ 120,989",10,Television,4.455445545,0,0,20,10,70," Display Size : 49 inch, Screen Type : LED, Resolution : 4K, No.of USB Ports : 3, No.of HDMI Ports : 4, Color : Black, Speaker Output : 20 W, Power Consumption : 0.3 W (Standby), Dimensions : 1096 mm x 638 mm x 62.5 mm, Weight : 14 kg, Constrast Ratio : , Brightness : ",49 inch,LED,4K,3,4,Black,20 W,2,3840x2160,0.3 W (Standby),1096 mm x 638 mm x 62.5 mm,14 kg,1096 mm x 707 mm x 248.4 mm,,,,{'Smart Remote': 'Yes'}
https://gadgets.ndtv.com/philips-32-inch-led-hd-ready-tv-32pfl5355-v7-9282,https://i.gadgets360cdn.com/products/televisions/large/1548153092_832_philips_32-inch-led-hd-ready-tv-32pfl5355-v7.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,32PFL5355/V7,,,Television,0,0,0,0,0,0," Display Size : 32 inch, Screen Type : LED, Resolution : HD-Ready, No.of USB Ports : 3, No.of HDMI Ports : 2, Color : Black, Speaker Output : 16 W, Power Consumption : 50 W, 1 W (Standby), Dimensions : 740 mm x 453 mm x 88 mm, Weight : 5.1 kg, Constrast Ratio : 3000000:1 (Dynamic), Brightness : ",32 inch,LED,HD-Ready,3,2,Black,16 W,2,1366x768,"50 W, 1 W (Standby)",740 mm x 453 mm x 88 mm,5.1 kg,740 mm x 512 mm x 208 mm,3000000:1 (Dynamic),Down Firing,,"{'Supported Audio Formats': 'MP3, WMA (Ver 2 upto Ver 9.2)', 'Picture Engine': 'Pixel Plus HD Engine', 'Stand Type': 'Slanted', 'Battery Type': 'AAA', 'Audio Out': '1', 'Digital Noise Filter': 'Yes'}"
https://gadgets.ndtv.com/samsung-43-inch-led-full-hd-tv-43k5002-9518,https://i.gadgets360cdn.com/products/televisions/large/1548153309_832_samsung_43-inch-led-full-hd-tv-43k5002.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Samsung 43 Inches Full HD LED TV (43K5002, Black)",43K5002,"₹ 48,900",133,Television,3.821782178,12,7,11,23,47," Display Size : 43 inch, Screen Type : LED, Resolution : Full-HD, No.of USB Ports : 1, No.of HDMI Ports : 3, Color : Black, Speaker Output : 14 W, Power Consumption : 75 W, 0.5 W (Standby), Dimensions : 970 mm x 564 mm x 74 mm, Weight : 9.5 kg, Constrast Ratio : , Brightness : ",43 inch,LED,Full-HD,1,3,Black,14 W,2,1920x1080,"75 W, 0.5 W (Standby)",970 mm x 564 mm x 74 mm,9.5 kg,970 mm x 620 mm x 74 mm,,2.0 Channel Down Firing,,
