url,Picture URL,Product Name,Price in India,Total Ratings,Type,Rating,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Description,Hard Disk,Console Type,AV Digital Output,RAM,Input method,Screen Size,USB,Processor,Graphics,Weight,Console Family,Launched
https://gadgets.ndtv.com/sony-playstation-4-11986,https://i.gadgets360cdn.com/products/large/1549462346_635_ps4_slim_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Sony PlayStation 4 (Black, 500GB)","₹ 30,990","2,020",Gaming console,4.415841584,7,2,4,12,75," Hard Disk : 500GB, 1TB, Console Type : Home Console, AV Digital Output : HDMI, Optical Out, RAM : 8GB, Input Method : Disc, Screen Size : , USB Ports : 2 USB 3.1 ports, Processor : AMD Jaguar 1.6 GHz 8-core, Graphics : AMD GCN Radeon, Weight : 2.1kg, Console Family : Sony PlayStation 4, Launched : 41579","500GB, 1TB",Home Console,"HDMI, Optical Out",8GB,Disc,,2 USB 3.1 ports,AMD Jaguar 1.6 GHz 8-core,AMD GCN Radeon,2.1kg,Sony PlayStation 4,November 2013
https://gadgets.ndtv.com/sony-playstation-4-11986,https://i.gadgets360cdn.com/products/large/1549462346_635_ps4_slim_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Sony PlayStation 4 (Silver, 500GB)","₹ 44,990","2,020",Gaming console,4.415841584,7,2,4,12,75," Hard Disk : 500GB, 1TB, Console Type : Home Console, AV Digital Output : HDMI, Optical Out, RAM : 8GB, Input Method : Disc, Screen Size : , USB Ports : 2 USB 3.1 ports, Processor : AMD Jaguar 1.6 GHz 8-core, Graphics : AMD GCN Radeon, Weight : 2.1kg, Console Family : Sony PlayStation 4, Launched : 41579","500GB, 1TB",Home Console,"HDMI, Optical Out",8GB,Disc,,2 USB 3.1 ports,AMD Jaguar 1.6 GHz 8-core,AMD GCN Radeon,2.1kg,Sony PlayStation 4,November 2013
https://gadgets.ndtv.com/sony-playstation-4-11986,https://i.gadgets360cdn.com/products/large/1549462346_635_ps4_slim_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Sony PlayStation 4 (Black, 1TB)","₹ 31,990","2,020",Gaming console,4.415841584,7,2,4,12,75," Hard Disk : 500GB, 1TB, Console Type : Home Console, AV Digital Output : HDMI, Optical Out, RAM : 8GB, Input Method : Disc, Screen Size : , USB Ports : 2 USB 3.1 ports, Processor : AMD Jaguar 1.6 GHz 8-core, Graphics : AMD GCN Radeon, Weight : 2.1kg, Console Family : Sony PlayStation 4, Launched : 41579","500GB, 1TB",Home Console,"HDMI, Optical Out",8GB,Disc,,2 USB 3.1 ports,AMD Jaguar 1.6 GHz 8-core,AMD GCN Radeon,2.1kg,Sony PlayStation 4,November 2013
https://gadgets.ndtv.com/microsoft-xbox-one-s-11990,https://i.gadgets360cdn.com/products/large/1549457624_635_xbox_one_s.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Microsoft Xbox One S (White, 1TB)","₹ 30,990",405,Gaming console,4.564356436,3,2,3,15,77," Hard Disk : 500GB, 1TB, 2TB, Console Type : Home Console, AV Digital Output : HDMI-out, Optical Out, RAM : 8GB, Input Method : Disc, Screen Size : , USB Ports : 3 USB 3.0 ports, Processor : AMD Jaguar 1.75GHz 8-core, Graphics : AMD Durango 2 GCN 1.0, Weight : 2.9kg, Console Family : Microsoft Xbox One, Launched : 42583","500GB, 1TB, 2TB",Home Console,"HDMI-out, Optical Out",8GB,Disc,,3 USB 3.0 ports,AMD Jaguar 1.75GHz 8-core,AMD Durango 2 GCN 1.0,2.9kg,Microsoft Xbox One,August 2016
https://gadgets.ndtv.com/sony-psp-street-12017,https://i.gadgets360cdn.com/products/large/1550052796_635_psp_e1000_.png?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,,,Gaming console,0,0,0,0,0,0," Hard Disk : None, Console Type : Handheld Console, AV Digital Output : , RAM : 64MB, Input Method : Disc, Screen Size : 4.3 inches, USB Ports : 1 USB 2.0 port, Processor : 333MHz MIPS R4000, Graphics : 166MHz GPU, Weight : 223g, Console Family : Sony PlayStation Vita/ PSP, Launched : 40817",None,Handheld Console,,64MB,Disc,4.3 inches,1 USB 2.0 port,333MHz MIPS R4000,166MHz GPU,223g,Sony PlayStation Vita/ PSP,October 2011
https://gadgets.ndtv.com/nintendo-game-boy-advance-sp-12026,https://i.gadgets360cdn.com/products/large/1550062241_635_nintendo_gameboy_advance_sp.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,,,Gaming console,0,0,0,0,0,0," Hard Disk : No, Console Type : Handheld Console, AV Digital Output : No, RAM : , Input Method : Cartridge, Screen Size : 2.9-inches, USB Ports : No, Processor : ARM7TDMI @ 16.78 MHz; Zilog Z80 @ 8MHz/4MHz, Graphics : No, Weight : 140g, Console Family : Nintendo Game Boy, Launched : 37681",No,Handheld Console,No,,Cartridge,2.9-inches,No,ARM7TDMI @ 16.78 MHz; Zilog Z80 @ 8MHz/4MHz,No,140g,Nintendo Game Boy,March 2003
https://gadgets.ndtv.com/nintendo-ds-12021,https://i.gadgets360cdn.com/products/large/1550057291_635_nintendo_ds_.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,,,Gaming console,0,0,0,0,0,0," Hard Disk : 256KB, Console Type : Handheld Console, AV Digital Output : No, RAM : 4MB, Input Method : Cartridge, Screen Size : 3-inches (upper); 3-inches (lower), USB Ports : No, Processor : ARM946E-S @ 67 MHz; ARM7TDMI @ 33 MHz, Graphics : No, Weight : 275g, Console Family : Nintendo DS, Launched : 38292",256KB,Handheld Console,No,4MB,Cartridge,3-inches (upper); 3-inches (lower),No,ARM946E-S @ 67 MHz; ARM7TDMI @ 33 MHz,No,275g,Nintendo DS,November 2004
https://gadgets.ndtv.com/sony-playstation-4-pro-11988,https://i.gadgets360cdn.com/products/large/1549457342_635_ps4_pro_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sony Playstation 4 Pro (White),"₹ 42,500",607,Gaming console,4.27,11,2,4,10,72," Hard Disk : 1TB, Console Type : Home Console, AV Digital Output : Optical Out, RAM : 8GB, Input Method : Disc, Screen Size : , USB Ports : 3 USB 3.1 ports, Processor : AMD Jaguar 1.6 GHz 8-core, Graphics : AMD GCN Radeon, Weight : 3.3kg, Console Family : Sony PlayStation 4, Launched : 42675",1TB,Home Console,Optical Out,8GB,Disc,,3 USB 3.1 ports,AMD Jaguar 1.6 GHz 8-core,AMD GCN Radeon,3.3kg,Sony PlayStation 4,November 2016
https://gadgets.ndtv.com/sony-playstation-4-pro-11988,https://i.gadgets360cdn.com/products/large/1549457342_635_ps4_pro_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Sony Playstation 4 Pro (Black, 1TB)","₹ 36,594",607,Gaming console,4.27,11,2,4,10,72," Hard Disk : 1TB, Console Type : Home Console, AV Digital Output : Optical Out, RAM : 8GB, Input Method : Disc, Screen Size : , USB Ports : 3 USB 3.1 ports, Processor : AMD Jaguar 1.6 GHz 8-core, Graphics : AMD GCN Radeon, Weight : 3.3kg, Console Family : Sony PlayStation 4, Launched : 42675",1TB,Home Console,Optical Out,8GB,Disc,,3 USB 3.1 ports,AMD Jaguar 1.6 GHz 8-core,AMD GCN Radeon,3.3kg,Sony PlayStation 4,November 2016
https://gadgets.ndtv.com/sony-playstation-4-pro-11988,https://i.gadgets360cdn.com/products/large/1549457342_635_ps4_pro_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sony Playstation 4 Pro (Black),"₹ 31,500",607,Gaming console,4.27,11,2,4,10,72," Hard Disk : 1TB, Console Type : Home Console, AV Digital Output : Optical Out, RAM : 8GB, Input Method : Disc, Screen Size : , USB Ports : 3 USB 3.1 ports, Processor : AMD Jaguar 1.6 GHz 8-core, Graphics : AMD GCN Radeon, Weight : 3.3kg, Console Family : Sony PlayStation 4, Launched : 42675",1TB,Home Console,Optical Out,8GB,Disc,,3 USB 3.1 ports,AMD Jaguar 1.6 GHz 8-core,AMD GCN Radeon,3.3kg,Sony PlayStation 4,November 2016
