url,Picture URL,Product Name,Price in India,Type,Total Ratings,Rating,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Description,Front camera,Screen size (inches),Rear camera,Wi-Fi,Internal storage,Resolution,Operating system,Processor,RAM,NFC,Expandable storage Tablet,Processor make,Weight (g),Dimensions (mm),Battery capacity (mAh),Expandable storage up to (GB),Bluetooth version,Colours,Pixels per inch (PPI)
https://gadgets.ndtv.com/acer-iconia-a1-713-1820,https://drop.ndtv.com/TECH/product_database/images/842014102528AM_635_acer_iconia_a1_713.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,,Tablet,112,3.637254902,13,10,12,28,38, Front Camera : 0.3-megapixel Rear Camera : 2-megapixel Screen size : 7 Internal Storage : 16GB Resolution : 600x1024 pixels Operating system : Android 4.2 Processor : 1.3GHz quad-core RAM : 1GB Processor Manufacturer : MediaTek MT8382 Weight : 298 Dimensions : 193.00 x 116.00 x 8.95 Battery capacity : 3400 PPI : ,0.3-megapixel,7,2-megapixel,Yes,16GB,600x1024 pixels,Android 4.2,1.3GHz quad-core,1GB,No,microSD,MediaTek MT8382,298,193.00 x 116.00 x 8.95,3400,32,4,Silver,
https://gadgets.ndtv.com/iball-slide-gorgeo-4gl-3261,https://drop.ndtv.com/TECH/product_database/images/127201640901PM_635_iball_slide_gorgeo_4gl.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,,Tablet,2,0.9900990099,100,0,0,0,0, Front Camera : 5-megapixel Rear Camera : 8-megapixel Screen size : 7 Internal Storage : 8GB Resolution : 600x1024 pixels Operating system : Android 5.1 Processor : 1GHz quad-core RAM : 1GB Processor Manufacturer :  Weight :  Dimensions :  Battery capacity : 3500 PPI : ,5-megapixel,7,8-megapixel,Yes,8GB,600x1024 pixels,Android 5.1,1GHz quad-core,1GB,No,microSD,,,,3500,32,,,
https://gadgets.ndtv.com/intex-i-buddy-in-7dd01-3636,https://drop.ndtv.com/TECH/product_database/images/712201655928PM_635_intex_i_buddy_in_7dd01.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Intex Ibuddy 7DD01 Tablet (8GB, 7 Inches, WI-FI, Black)","₹ 3,999",Tablet,287,2.99009901,32,10,12,16,30, Front Camera : 0.3-megapixel Rear Camera : 2-megapixel Screen size : 7 Internal Storage : 8GB Resolution : 720x1280 pixels Operating system : Android 5.1 Processor : quad-core RAM : 1GB Processor Manufacturer :  Weight : 272 Dimensions : 188.00 x 108.00 x 10.00 Battery capacity : 2800 PPI : ,0.3-megapixel,7,2-megapixel,Yes,8GB,720x1280 pixels,Android 5.1,quad-core,1GB,No,microSD,,272,188.00 x 108.00 x 10.00,2800,32,,Black,
https://gadgets.ndtv.com/lenovo-yoga-book-windows-3739,https://drop.ndtv.com/TECH/product_database/images/912016114649AM_635_lenovo_yoga_boo_windows1.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Lenovo Yoga Book Tablet (64GB, 10.1 Inches, WI-FI, Carbon Black)","₹ 45,000",Tablet,129,3.356435644,26,9,8,14,43, Front Camera : 2-megapixel Rear Camera : 8-megapixel Screen size : 10.1 Internal Storage : 64GB Resolution : 1200x1920 pixels Operating system : Windows 10 Processor : 2.4GHz quad-core RAM : 4GB Processor Manufacturer : Intel Atom x5-Z8550 Processor Weight : 690 Dimensions : 256.00 x 170.80 x 9.60 Battery capacity : 8500 PPI : ,2-megapixel,10.1,8-megapixel,Yes,64GB,1200x1920 pixels,Windows 10,2.4GHz quad-core,4GB,No,microSD,Intel Atom x5-Z8550 Processor,690,256.00 x 170.80 x 9.60,8500,128,4,,
https://gadgets.ndtv.com/micromax-canvas-tab-p690-2695,https://cdn.gadgets360.com/content/assets/products/micromax-canvas-tab-p690-2695_960X480_1434609245.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Micromax Canvas P690 Tablet (8GB, 8 Inches, WI-FI, Grey)","₹ 6,899",Tablet,185,3.02970297,31,9,12,19,29, Front Camera : 2-megapixel Rear Camera : 5-megapixel Screen size : 8 Internal Storage : 8GB Resolution : 1280x800 pixels Operating system : Android 4.4.4 Processor : 1.3GHz quad-core RAM : 1GB Processor Manufacturer : Intel Atom Z3735G Weight :  Dimensions :  Battery capacity : 4000 PPI : 160,2-megapixel,8,5-megapixel,Yes,8GB,1280x800 pixels,Android 4.4.4,1.3GHz quad-core,1GB,No,microSD,Intel Atom Z3735G,,,4000,32,4,Metallic Grey,160
https://gadgets.ndtv.com/samsung-galaxy-tab-a-2718,https://cdn.gadgets360.com/content/assets/products/samsung-galaxy-tab-a-2718_480X960_1434634122.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Samsung Galaxy Tab A Tablet (16GB, 9.7 Inches, WI-FI, Black)","₹ 69,067",Tablet,7,3.69,14,14,14,0,57, Front Camera : 2-megapixel Rear Camera : 5-megapixel Screen size : 8 Internal Storage : 16GB Resolution : 1024x768 pixels Operating system : Android 5.0 Processor : 1.2GHz quad-core RAM : 2GB Processor Manufacturer :  Weight : 320 Dimensions : 208.40 x 137.90 x 7.50 Battery capacity : 4200 PPI : ,2-megapixel,8,5-megapixel,Yes,16GB,1024x768 pixels,Android 5.0,1.2GHz quad-core,2GB,No,microSD,,320,208.40 x 137.90 x 7.50,4200,128,,Gold,
https://gadgets.ndtv.com/wickedleak-wammy-desire-3-1995,https://drop.ndtv.com/TECH/product_database/images/918201462606PM_635_wickedleak_wammy_desire_3.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,,Tablet,,0,0,0,0,0,0, Front Camera : 0.3-megapixel Rear Camera : 2-megapixel Screen size : 7 Internal Storage : 8GB Resolution : 600x1024 pixels Operating system : Android 4.4 Processor : 1.3GHz quad-core RAM : 1GB Processor Manufacturer : MediaTek MT8389 Weight :  Dimensions :  Battery capacity : 3000 PPI : ,0.3-megapixel,7,2-megapixel,Yes,8GB,600x1024 pixels,Android 4.4,1.3GHz quad-core,1GB,No,microSD,MediaTek MT8389,,,3000,32,,,
https://gadgets.ndtv.com/smart-sq718-3g-3137,https://drop.ndtv.com/TECH/product_database/images/1130201515644PM_635_smart_sq718_3g.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,,Tablet,,0,0,0,0,0,0, Front Camera : 2-megapixel Rear Camera : 5-megapixel Screen size : 7 Internal Storage : 8GB Resolution : 1024x600 pixels Operating system : Android 4.4.2 Processor : 1.3GHz quad-core RAM : 1GB Processor Manufacturer : MediaTek MT8382 Weight :  Dimensions :  Battery capacity : 3000 PPI : ,2-megapixel,7,5-megapixel,Yes,8GB,1024x600 pixels,Android 4.4.2,1.3GHz quad-core,1GB,No,microSD,MediaTek MT8382,,,3000,32,,Black,
https://gadgets.ndtv.com/swipe-ultimate-tab-3g-2328,https://gadgets.ndtv.com/static/icons/tablet_icon.png?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Swipe Ultimate Tablet (32GB, 10.1 Inches, WI-FI, Black)","₹ 25,000",Tablet,4,1.98019802,50,25,0,25,0, Front Camera : 2-megapixel Rear Camera : 5-megapixel Screen size : 10.1 Internal Storage : 32GB Resolution : 1280x800 pixels Operating system : Windows 8.1 Processor : 1.33GHz quad-core RAM : 2GB Processor Manufacturer : Intel Atom Z3735D Weight : 580 Dimensions : 256.40 x 171.00 x 9.50 Battery capacity : 7000 PPI : ,2-megapixel,10.1,5-megapixel,Yes,32GB,1280x800 pixels,Windows 8.1,1.33GHz quad-core,2GB,No,microSD,Intel Atom Z3735D,580,256.40 x 171.00 x 9.50,7000,,4,Black,
https://gadgets.ndtv.com/intex-i-buddy-in-7dd01-3636,https://drop.ndtv.com/TECH/product_database/images/712201655928PM_635_intex_i_buddy_in_7dd01.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Intex Ibuddy 7DD01 Tablet (8GB, 7 Inches, WI-FI, White)","₹ 6,999",Tablet,287,2.99009901,32,10,12,16,30, Front Camera : 0.3-megapixel Rear Camera : 2-megapixel Screen size : 7 Internal Storage : 8GB Resolution : 720x1280 pixels Operating system : Android 5.1 Processor : quad-core RAM : 1GB Processor Manufacturer :  Weight : 272 Dimensions : 188.00 x 108.00 x 10.00 Battery capacity : 2800 PPI : ,0.3-megapixel,7,2-megapixel,Yes,8GB,720x1280 pixels,Android 5.1,quad-core,1GB,No,microSD,,272,188.00 x 108.00 x 10.00,2800,32,,Black,
https://gadgets.ndtv.com/samsung-galaxy-tab-s-10-5-lte-1689,https://drop.ndtv.com/TECH/product_database/images/6132014124354PM_635_samsung_galaxy_tab_s_10_5_lte.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Samsung Galaxy Tab S SM-T805NZWABTU Tablet (16GB, 10.5 Inches, WI-FI, Titanium Bronze)","₹ 40,999",Tablet,46,4.316831683,7,4,2,20,67, Front Camera : 2.1-megapixel Rear Camera : 8-megapixel Screen size : 10.5 Internal Storage : 16GB Resolution : 2560x1600 pixels Operating system : Android 4.4 Processor : 2.3GHz quad-core RAM : 3GB Processor Manufacturer : Qualcomm Snapdragon 800 Weight : 467 Dimensions : 177.30 x 247.30 x 6.60 Battery capacity : 7900 PPI : ,2.1-megapixel,10.5,8-megapixel,Yes,16GB,2560x1600 pixels,Android 4.4,2.3GHz quad-core,3GB,No,microSD,Qualcomm Snapdragon 800,467,177.30 x 247.30 x 6.60,7900,128,4,,
https://gadgets.ndtv.com/lenovo-yoga-book-windows-3739,https://drop.ndtv.com/TECH/product_database/images/912016114649AM_635_lenovo_yoga_boo_windows1.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Lenovo Yoga Book Tablet (64GB, 10.1 Inches, WI-FI, Black)","₹ 40,717",Tablet,129,3.356435644,26,9,8,14,43, Front Camera : 2-megapixel Rear Camera : 8-megapixel Screen size : 10.1 Internal Storage : 64GB Resolution : 1200x1920 pixels Operating system : Windows 10 Processor : 2.4GHz quad-core RAM : 4GB Processor Manufacturer : Intel Atom x5-Z8550 Processor Weight : 690 Dimensions : 256.00 x 170.80 x 9.60 Battery capacity : 8500 PPI : ,2-megapixel,10.1,8-megapixel,Yes,64GB,1200x1920 pixels,Windows 10,2.4GHz quad-core,4GB,No,microSD,Intel Atom x5-Z8550 Processor,690,256.00 x 170.80 x 9.60,8500,128,4,,
https://gadgets.ndtv.com/dell-venue-7-1526,https://drop.ndtv.com/TECH/product_database/images/414201443859PM_635_dell_venue_7.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,,Tablet,2,2.475247525,50,0,0,50,0, Front Camera : 0.3-megapixel Rear Camera : 3.15-megapixel Screen size : 7 Internal Storage : 16GB Resolution : 1280x800 pixels Operating system : Android 4.2 Processor : 1.6GHz dual-core RAM : 2GB Processor Manufacturer : Intel Atom Weight : 234 Dimensions : 118.00 x 193.00 x 9.60 Battery capacity : 4100 PPI : ,0.3-megapixel,7,3.15-megapixel,Yes,16GB,1280x800 pixels,Android 4.2,1.6GHz dual-core,2GB,No,microSD,Intel Atom,234,118.00 x 193.00 x 9.60,4100,32,4,"Black, Red",
https://gadgets.ndtv.com/lenovo-yoga-book-windows-3739,https://drop.ndtv.com/TECH/product_database/images/912016114649AM_635_lenovo_yoga_boo_windows1.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Lenovo Yoga Book Tablet (64GB, 10.1 Inches, WI-FI, Grey)","₹ 34,999",Tablet,129,3.356435644,26,9,8,14,43, Front Camera : 2-megapixel Rear Camera : 8-megapixel Screen size : 10.1 Internal Storage : 64GB Resolution : 1200x1920 pixels Operating system : Windows 10 Processor : 2.4GHz quad-core RAM : 4GB Processor Manufacturer : Intel Atom x5-Z8550 Processor Weight : 690 Dimensions : 256.00 x 170.80 x 9.60 Battery capacity : 8500 PPI : ,2-megapixel,10.1,8-megapixel,Yes,64GB,1200x1920 pixels,Windows 10,2.4GHz quad-core,4GB,No,microSD,Intel Atom x5-Z8550 Processor,690,256.00 x 170.80 x 9.60,8500,128,4,,
